IATA,Countries,Cities,Type Point,Location
STM, Brasil,Santarem,"{'location': {'type': 'Point', 'coordinates': (-65.9515546, -33.2762202)}}","{'location': {'type': 'Point', 'coordinates': (-65.9515546, -33.2762202)}}"
STN, Reino Unido,Londres,"{'location': {'type': 'Point', 'coordinates': (-8.6867081, 39.2363637)}}","{'location': {'type': 'Point', 'coordinates': (-8.6867081, 39.2363637)}}"
STR, Alemania,Stuttgart,"{'location': {'type': 'Point', 'coordinates': (-0.1276474, 51.5073219)}}","{'location': {'type': 'Point', 'coordinates': (-0.1276474, 51.5073219)}}"
STS, Estados Unidos,Santa Rosa,"{'location': {'type': 'Point', 'coordinates': (9.1800132, 48.7784485)}}","{'location': {'type': 'Point', 'coordinates': (9.1800132, 48.7784485)}}"
STT, Islas Virgenes de EE.UU,Saint Thomas,"{'location': {'type': 'Point', 'coordinates': (-122.7141049, 38.4404925)}}","{'location': {'type': 'Point', 'coordinates': (-122.7141049, 38.4404925)}}"
STV, India,Surat,"{'location': {'type': 'Point', 'coordinates': (3.8175587164613276, 49.5020115)}}","{'location': {'type': 'Point', 'coordinates': (3.8175587164613276, 49.5020115)}}"
STW, Rusia,Stavropol,"{'location': {'type': 'Point', 'coordinates': (3.2553, 45.9383)}}","{'location': {'type': 'Point', 'coordinates': (3.2553, 45.9383)}}"
STX, Islas Virgenes de EE.UU,Saint Croix,"{'location': {'type': 'Point', 'coordinates': (43.66309345141463, 44.941379850000004)}}","{'location': {'type': 'Point', 'coordinates': (43.66309345141463, 44.941379850000004)}}"
SUB, Indonesia,Surabaya,"{'location': {'type': 'Point', 'coordinates': (-64.75901597858353, 17.7289564)}}","{'location': {'type': 'Point', 'coordinates': (-64.75901597858353, 17.7289564)}}"
SUF, Italia,Lamezia Terme,"{'location': {'type': 'Point', 'coordinates': (112.7378266, -7.2459717)}}","{'location': {'type': 'Point', 'coordinates': (112.7378266, -7.2459717)}}"
SUG, Filipinas,Surigao,"{'location': {'type': 'Point', 'coordinates': (16.3021451, 38.9645069)}}","{'location': {'type': 'Point', 'coordinates': (16.3021451, 38.9645069)}}"
SUJ, Rumania,Satu Mare,"{'location': {'type': 'Point', 'coordinates': (125.493335, 9.7905543)}}","{'location': {'type': 'Point', 'coordinates': (125.493335, 9.7905543)}}"
SUK, Rusia,Batagay-Alyta,"{'location': {'type': 'Point', 'coordinates': (22.8725598, 47.7891763)}}","{'location': {'type': 'Point', 'coordinates': (22.8725598, 47.7891763)}}"
SUN, Estados Unidos,Sun Valley,"{'location': {'type': 'Point', 'coordinates': (130.38941326304337, 67.7925595)}}","{'location': {'type': 'Point', 'coordinates': (130.38941326304337, 67.7925595)}}"
SUR, Canada,Nibinamik First Nation,"{'location': {'type': 'Point', 'coordinates': (-95.42850117122116, 33.670169)}}","{'location': {'type': 'Point', 'coordinates': (-95.42850117122116, 33.670169)}}"
SUV, Fiji,Suva,"{'location': {'type': 'Point', 'coordinates': (-88.51408712780389, 52.7464097)}}","{'location': {'type': 'Point', 'coordinates': (-88.51408712780389, 52.7464097)}}"
SUX, Estados Unidos,Sioux City,"{'location': {'type': 'Point', 'coordinates': (178.4421662, -18.1415884)}}","{'location': {'type': 'Point', 'coordinates': (178.4421662, -18.1415884)}}"
SUY, Rusia,Suntar,"{'location': {'type': 'Point', 'coordinates': (-96.4058782, 42.4966815)}}","{'location': {'type': 'Point', 'coordinates': (-96.4058782, 42.4966815)}}"
SVA, Estados Unidos,Savoonga,"{'location': {'type': 'Point', 'coordinates': (117.646332, 62.157455)}}","{'location': {'type': 'Point', 'coordinates': (117.646332, 62.157455)}}"
SVB, Madagascar,Sambava,"{'location': {'type': 'Point', 'coordinates': (-170.46987901063326, 63.6814425)}}","{'location': {'type': 'Point', 'coordinates': (-170.46987901063326, 63.6814425)}}"
SVC, Estados Unidos,Silver City,"{'location': {'type': 'Point', 'coordinates': (50.1556533, -14.254956)}}","{'location': {'type': 'Point', 'coordinates': (50.1556533, -14.254956)}}"
SVD, San Vicente y las Granadinas,Saint Vincent,"{'location': {'type': 'Point', 'coordinates': (-95.637226, 41.1133311)}}","{'location': {'type': 'Point', 'coordinates': (-95.637226, 41.1133311)}}"
SVG, Noruega,Stavanger,"{'location': {'type': 'Point', 'coordinates': (-61.2765569, 12.90447)}}","{'location': {'type': 'Point', 'coordinates': (-61.2765569, 12.90447)}}"
SVI, Colombia,San Vicente Del Caguan,"{'location': {'type': 'Point', 'coordinates': (5.712611357275702, 59.1020129)}}","{'location': {'type': 'Point', 'coordinates': (5.712611357275702, 59.1020129)}}"
SVJ, Noruega,Svolvr,"{'location': {'type': 'Point', 'coordinates': (-74.7697347, 2.1131213)}}","{'location': {'type': 'Point', 'coordinates': (-74.7697347, 2.1131213)}}"
SVL, Finlandia,Savonlinna,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
SVO, Rusia,Moscu,"{'location': {'type': 'Point', 'coordinates': (28.8797178, 61.8689933)}}","{'location': {'type': 'Point', 'coordinates': (28.8797178, 61.8689933)}}"
SVQ, Espana,Sevilla,"{'location': {'type': 'Point', 'coordinates': (37.6174943, 55.7504461)}}","{'location': {'type': 'Point', 'coordinates': (37.6174943, 55.7504461)}}"
SVR, Groenlandia,Savissivik,"{'location': {'type': 'Point', 'coordinates': (-5.9953403, 37.3886303)}}","{'location': {'type': 'Point', 'coordinates': (-5.9953403, 37.3886303)}}"
SVU, Fiji,Savusavu,"{'location': {'type': 'Point', 'coordinates': (-65.1142961, 76.0196363)}}","{'location': {'type': 'Point', 'coordinates': (-65.1142961, 76.0196363)}}"
SVX, Rusia,Ekaterimburgo,"{'location': {'type': 'Point', 'coordinates': (179.3328955, -16.7802184)}}","{'location': {'type': 'Point', 'coordinates': (179.3328955, -16.7802184)}}"
SWA, China,Shantou,"{'location': {'type': 'Point', 'coordinates': (60.60825, 56.839104)}}","{'location': {'type': 'Point', 'coordinates': (60.60825, 56.839104)}}"
SWF, Estados Unidos,Nueva York,"{'location': {'type': 'Point', 'coordinates': (116.6775918, 23.356377)}}","{'location': {'type': 'Point', 'coordinates': (116.6775918, 23.356377)}}"
SWJ, Vanuatu,South West Bay,"{'location': {'type': 'Point', 'coordinates': (-74.0060152, 40.7127281)}}","{'location': {'type': 'Point', 'coordinates': (-74.0060152, 40.7127281)}}"
SWL, Filipinas,San Vicente,"{'location': {'type': 'Point', 'coordinates': (73.3723539, -53.0567899)}}","{'location': {'type': 'Point', 'coordinates': (73.3723539, -53.0567899)}}"
SWO, Estados Unidos,Stillwater,"{'location': {'type': 'Point', 'coordinates': (-88.73969856525022, 13.527493549999999)}}","{'location': {'type': 'Point', 'coordinates': (-88.73969856525022, 13.527493549999999)}}"
SWQ, Indonesia,Sumbawa Besar,"{'location': {'type': 'Point', 'coordinates': (-97.0585717, 36.1156306)}}","{'location': {'type': 'Point', 'coordinates': (-97.0585717, 36.1156306)}}"
SWV, Rusia,Evensk,"{'location': {'type': 'Point', 'coordinates': (117.4195965, -8.489863)}}","{'location': {'type': 'Point', 'coordinates': (117.4195965, -8.489863)}}"
SXB, Francia,Estrasburgo,"{'location': {'type': 'Point', 'coordinates': (159.235931, 61.919209)}}","{'location': {'type': 'Point', 'coordinates': (159.235931, 61.919209)}}"
SXK, Indonesia,Saumlaki,"{'location': {'type': 'Point', 'coordinates': (7.7507127, 48.584614)}}","{'location': {'type': 'Point', 'coordinates': (7.7507127, 48.584614)}}"
SXM, Sint Maarten,Lower Prince's Quarter,"{'location': {'type': 'Point', 'coordinates': (131.3048761, -7.9741711)}}","{'location': {'type': 'Point', 'coordinates': (131.3048761, -7.9741711)}}"
SXO, Brasil,Sao Felix do Araguaia,"{'location': {'type': 'Point', 'coordinates': (-63.0450114, 18.0506286)}}","{'location': {'type': 'Point', 'coordinates': (-63.0450114, 18.0506286)}}"
SXR, India,Srinagar,"{'location': {'type': 'Point', 'coordinates': (-50.6667246, -11.6170646)}}","{'location': {'type': 'Point', 'coordinates': (-50.6667246, -11.6170646)}}"
SXZ, pavo,Siirt,"{'location': {'type': 'Point', 'coordinates': (74.8204443, 34.0747444)}}","{'location': {'type': 'Point', 'coordinates': (74.8204443, 34.0747444)}}"
SYB, Estados Unidos,Seal Bay,"{'location': {'type': 'Point', 'coordinates': (41.9422042, 37.9273232)}}","{'location': {'type': 'Point', 'coordinates': (41.9422042, 37.9273232)}}"
SYD, Australia,Sidney,"{'location': {'type': 'Point', 'coordinates': (-58.011522, -51.3787513)}}","{'location': {'type': 'Point', 'coordinates': (-58.011522, -51.3787513)}}"
SYJ, Corri,Sirjan,"{'location': {'type': 'Point', 'coordinates': (151.2164539, -33.8548157)}}","{'location': {'type': 'Point', 'coordinates': (151.2164539, -33.8548157)}}"
SYM, China,Simao District,"{'location': {'type': 'Point', 'coordinates': (55.6704717, 29.4458687)}}","{'location': {'type': 'Point', 'coordinates': (55.6704717, 29.4458687)}}"
SYO, Japon,Shonai,"{'location': {'type': 'Point', 'coordinates': (100.9758353, 22.7896269)}}","{'location': {'type': 'Point', 'coordinates': (100.9758353, 22.7896269)}}"
SYR, Estados Unidos,Siracusa,"{'location': {'type': 'Point', 'coordinates': (139.9042443, 38.8499339)}}","{'location': {'type': 'Point', 'coordinates': (139.9042443, 38.8499339)}}"
SYS, Rusia,Saskylakh,"{'location': {'type': 'Point', 'coordinates': (15.2907196, 37.0646139)}}","{'location': {'type': 'Point', 'coordinates': (15.2907196, 37.0646139)}}"
SYU, Australia,Warraber,"{'location': {'type': 'Point', 'coordinates': (114.09771366533417, 71.96505214999999)}}","{'location': {'type': 'Point', 'coordinates': (114.09771366533417, 71.96505214999999)}}"
SYX, China,Sanya,"{'location': {'type': 'Point', 'coordinates': (142.8245966096468, -10.208072099999999)}}","{'location': {'type': 'Point', 'coordinates': (142.8245966096468, -10.208072099999999)}}"
SYY, Reino Unido,Stornoway,"{'location': {'type': 'Point', 'coordinates': (109.5034392, 18.2534658)}}","{'location': {'type': 'Point', 'coordinates': (109.5034392, 18.2534658)}}"
SYZ, Corri,Shiraz,"{'location': {'type': 'Point', 'coordinates': (-71.1578449, 45.7104568)}}","{'location': {'type': 'Point', 'coordinates': (-71.1578449, 45.7104568)}}"
SZB, Malasia,Kuala Lumpur,"{'location': {'type': 'Point', 'coordinates': (52.5378041, 29.6060218)}}","{'location': {'type': 'Point', 'coordinates': (52.5378041, 29.6060218)}}"
SZE, Etiopia,Semera,"{'location': {'type': 'Point', 'coordinates': (101.6942371, 3.1516964)}}","{'location': {'type': 'Point', 'coordinates': (101.6942371, 3.1516964)}}"
SZF, pavo,Samsun,"{'location': {'type': 'Point', 'coordinates': (82.6172733, 21.8653721)}}","{'location': {'type': 'Point', 'coordinates': (82.6172733, 21.8653721)}}"
SZG, Austria,Salzburgo,"{'location': {'type': 'Point', 'coordinates': (36.3320596, 41.2946149)}}","{'location': {'type': 'Point', 'coordinates': (36.3320596, 41.2946149)}}"
SZK, Sudafrica,Skukuza,"{'location': {'type': 'Point', 'coordinates': (13.0464806, 47.7981346)}}","{'location': {'type': 'Point', 'coordinates': (13.0464806, 47.7981346)}}"
SZX, China,Shenzhen,"{'location': {'type': 'Point', 'coordinates': (31.589971351596645, -24.9611745)}}","{'location': {'type': 'Point', 'coordinates': (31.589971351596645, -24.9611745)}}"
SZY, Szczytno County,Szymany,"{'location': {'type': 'Point', 'coordinates': (114.0543297, 22.555454)}}","{'location': {'type': 'Point', 'coordinates': (114.0543297, 22.555454)}}"
SZZ, Polonia,Szczecin,"{'location': {'type': 'Point', 'coordinates': (22.5073271, 53.6286512)}}","{'location': {'type': 'Point', 'coordinates': (22.5073271, 53.6286512)}}"
TAB, Trinidad y Tobago,Tobago,"{'location': {'type': 'Point', 'coordinates': (14.5509623, 53.4301818)}}","{'location': {'type': 'Point', 'coordinates': (14.5509623, 53.4301818)}}"
TAC, Filipinas,Tacloban,"{'location': {'type': 'Point', 'coordinates': (-60.67200597857749, 11.24046155)}}","{'location': {'type': 'Point', 'coordinates': (-60.67200597857749, 11.24046155)}}"
TAE, Corea del Sur,Daegu,"{'location': {'type': 'Point', 'coordinates': (125.0081402, 11.2430274)}}","{'location': {'type': 'Point', 'coordinates': (125.0081402, 11.2430274)}}"
TAG, Filipinas,Tagbilaran,"{'location': {'type': 'Point', 'coordinates': (128.6018, 35.8713)}}","{'location': {'type': 'Point', 'coordinates': (128.6018, 35.8713)}}"
TAH, Vanuatu,Tanna,"{'location': {'type': 'Point', 'coordinates': (123.8559809, 9.6402611)}}","{'location': {'type': 'Point', 'coordinates': (123.8559809, 9.6402611)}}"
TAK, Japon,Takamatsu,"{'location': {'type': 'Point', 'coordinates': (11.8618578, 50.4945316)}}","{'location': {'type': 'Point', 'coordinates': (11.8618578, 50.4945316)}}"
TAL, Estados Unidos,Tanana,"{'location': {'type': 'Point', 'coordinates': (134.0465338, 34.3425592)}}","{'location': {'type': 'Point', 'coordinates': (134.0465338, 34.3425592)}}"
TAM, Mexico,Tampico,"{'location': {'type': 'Point', 'coordinates': (-152.078888, 65.1719444)}}","{'location': {'type': 'Point', 'coordinates': (-152.078888, 65.1719444)}}"
TAO, China,Qingdao,"{'location': {'type': 'Point', 'coordinates': (-97.8614802, 22.2329889)}}","{'location': {'type': 'Point', 'coordinates': (-97.8614802, 22.2329889)}}"
TAP, Mexico,Tapachula,"{'location': {'type': 'Point', 'coordinates': (120.3781372, 36.0638034)}}","{'location': {'type': 'Point', 'coordinates': (120.3781372, 36.0638034)}}"
TAS, Uzbekistan,Taskent,"{'location': {'type': 'Point', 'coordinates': (-92.32219567868036, 14.9258055)}}","{'location': {'type': 'Point', 'coordinates': (-92.32219567868036, 14.9258055)}}"
TAT, Eslovaquia,Poprad,"{'location': {'type': 'Point', 'coordinates': (69.2787079, 41.3123363)}}","{'location': {'type': 'Point', 'coordinates': (69.2787079, 41.3123363)}}"
TAY, Estonia,Tartu,"{'location': {'type': 'Point', 'coordinates': (20.2976401, 49.0541521)}}","{'location': {'type': 'Point', 'coordinates': (20.2976401, 49.0541521)}}"
TAZ, Turkmenistan,Dasoguz,"{'location': {'type': 'Point', 'coordinates': (26.72245, 58.3801207)}}","{'location': {'type': 'Point', 'coordinates': (26.72245, 58.3801207)}}"
TBB, Vietnam,Tuy Hoa,"{'location': {'type': 'Point', 'coordinates': (58.5586047, 41.3862117)}}","{'location': {'type': 'Point', 'coordinates': (58.5586047, 41.3862117)}}"
TBF, Kiribati,Tabiteuea,"{'location': {'type': 'Point', 'coordinates': (126.9607485, 46.6520483)}}","{'location': {'type': 'Point', 'coordinates': (126.9607485, 46.6520483)}}"
TBG, Papua Nueva Guinea,Tabubil,"{'location': {'type': 'Point', 'coordinates': (175.0679800190476, -1.49635205)}}","{'location': {'type': 'Point', 'coordinates': (175.0679800190476, -1.49635205)}}"
TBH, Filipinas,Isla Tablas,"{'location': {'type': 'Point', 'coordinates': (141.2255685, -5.2716682)}}","{'location': {'type': 'Point', 'coordinates': (141.2255685, -5.2716682)}}"
TBI, Bahamas,New Bight,"{'location': {'type': 'Point', 'coordinates': (122.01881685407935, 12.3865083)}}","{'location': {'type': 'Point', 'coordinates': (122.01881685407935, 12.3865083)}}"
TBN, Estados Unidos,Fort Leonard Wood,"{'location': {'type': 'Point', 'coordinates': (152.3844444, -31.8816667)}}","{'location': {'type': 'Point', 'coordinates': (152.3844444, -31.8816667)}}"
TBO, Tanzania,Tabora,"{'location': {'type': 'Point', 'coordinates': (-92.16933029454009, 37.701139999999995)}}","{'location': {'type': 'Point', 'coordinates': (-92.16933029454009, 37.701139999999995)}}"
TBP, Peru,Tumbes,"{'location': {'type': 'Point', 'coordinates': (32.5080629, -5.1913822)}}","{'location': {'type': 'Point', 'coordinates': (32.5080629, -5.1913822)}}"
TBS, Georgia,Tiflis,"{'location': {'type': 'Point', 'coordinates': (-80.5, -3.833333)}}","{'location': {'type': 'Point', 'coordinates': (-80.5, -3.833333)}}"
TBT, Brasil,Tabatinga,"{'location': {'type': 'Point', 'coordinates': (44.8014495, 41.6934591)}}","{'location': {'type': 'Point', 'coordinates': (44.8014495, 41.6934591)}}"
TBU, Tonga,Nukualofa,"{'location': {'type': 'Point', 'coordinates': (-48.6880522, -21.7373768)}}","{'location': {'type': 'Point', 'coordinates': (-48.6880522, -21.7373768)}}"
TBW, Rusia,Tambov,"{'location': {'type': 'Point', 'coordinates': (-175.2018085, -21.1343401)}}","{'location': {'type': 'Point', 'coordinates': (-175.2018085, -21.1343401)}}"
TBZ, Corri,Tabriz,"{'location': {'type': 'Point', 'coordinates': (41.45536, 52.72879)}}","{'location': {'type': 'Point', 'coordinates': (41.45536, 52.72879)}}"
TCA, Australia,Tennant Creek,"{'location': {'type': 'Point', 'coordinates': (46.2961952, 38.0739964)}}","{'location': {'type': 'Point', 'coordinates': (46.2961952, 38.0739964)}}"
TCB, Bahamas,Treasure Cay,"{'location': {'type': 'Point', 'coordinates': (134.1899847, -19.6481652)}}","{'location': {'type': 'Point', 'coordinates': (134.1899847, -19.6481652)}}"
TCG, China,Tacheng,"{'location': {'type': 'Point', 'coordinates': (-77.2895287, 26.6774884)}}","{'location': {'type': 'Point', 'coordinates': (-77.2895287, 26.6774884)}}"
TCO, Colombia,Tumaco,"{'location': {'type': 'Point', 'coordinates': (82.9838309, 46.7510282)}}","{'location': {'type': 'Point', 'coordinates': (82.9838309, 46.7510282)}}"
TCQ, Peru,Tacna,"{'location': {'type': 'Point', 'coordinates': (-78.7705977, 1.8077554)}}","{'location': {'type': 'Point', 'coordinates': (-78.7705977, 1.8077554)}}"
TCR, India,Thoothukudi,"{'location': {'type': 'Point', 'coordinates': (-70.2511614, -18.0138521)}}","{'location': {'type': 'Point', 'coordinates': (-70.2511614, -18.0138521)}}"
TCT, Estados Unidos,Takotna,"{'location': {'type': 'Point', 'coordinates': (78.1452745, 8.8052602)}}","{'location': {'type': 'Point', 'coordinates': (78.1452745, 8.8052602)}}"
TCX, Corri,Tabas,"{'location': {'type': 'Point', 'coordinates': (-156.10601630187466, 62.9720835)}}","{'location': {'type': 'Point', 'coordinates': (-156.10601630187466, 62.9720835)}}"
TCZ, China,Tengchong,"{'location': {'type': 'Point', 'coordinates': (56.9247263, 33.596031)}}","{'location': {'type': 'Point', 'coordinates': (56.9247263, 33.596031)}}"
TDD, Bolivia,Trinidad,"{'location': {'type': 'Point', 'coordinates': (98.5168272, 25.1725265)}}","{'location': {'type': 'Point', 'coordinates': (98.5168272, 25.1725265)}}"
TDK, Kazajstan,Taldykorgan,"{'location': {'type': 'Point', 'coordinates': (-61.26130538878063, 10.443024300000001)}}","{'location': {'type': 'Point', 'coordinates': (-61.26130538878063, 10.443024300000001)}}"
TDX, Tailandia,Provincia de Trat,"{'location': {'type': 'Point', 'coordinates': (78.3791841, 45.0164138)}}","{'location': {'type': 'Point', 'coordinates': (78.3791841, 45.0164138)}}"
TEB, Estados Unidos,Teterboro,"{'location': {'type': 'Point', 'coordinates': (10.7542474, 45.8671627)}}","{'location': {'type': 'Point', 'coordinates': (10.7542474, 45.8671627)}}"
TEE, Argelia,Tebessa,"{'location': {'type': 'Point', 'coordinates': (-74.06003621298285, 40.857483)}}","{'location': {'type': 'Point', 'coordinates': (-74.06003621298285, 40.857483)}}"
TEF, Australia,Telfer Mine,"{'location': {'type': 'Point', 'coordinates': (7.901173504229375, 35.124945)}}","{'location': {'type': 'Point', 'coordinates': (7.901173504229375, 35.124945)}}"
TEI, India,Tezu,"{'location': {'type': 'Point', 'coordinates': (122.21009723724323, -21.7330212)}}","{'location': {'type': 'Point', 'coordinates': (122.21009723724323, -21.7330212)}}"
TEK, Estados Unidos,Tatitlek,"{'location': {'type': 'Point', 'coordinates': (96.1647135, 27.9254195)}}","{'location': {'type': 'Point', 'coordinates': (96.1647135, 27.9254195)}}"
TEN, China,Tong ren,"{'location': {'type': 'Point', 'coordinates': (-146.6786111, 60.8647222)}}","{'location': {'type': 'Point', 'coordinates': (-146.6786111, 60.8647222)}}"
TEQ, pavo,Tekirdag,"{'location': {'type': 'Point', 'coordinates': (109.1852081, 27.7347312)}}","{'location': {'type': 'Point', 'coordinates': (109.1852081, 27.7347312)}}"
TER, Portugal,Isla Terceira,"{'location': {'type': 'Point', 'coordinates': (27.4144196, 41.1185843)}}","{'location': {'type': 'Point', 'coordinates': (27.4144196, 41.1185843)}}"
TET, Mozambique,Tete,"{'location': {'type': 'Point', 'coordinates': (-27.217638979818638, 38.72116535)}}","{'location': {'type': 'Point', 'coordinates': (-27.217638979818638, 38.72116535)}}"
TEX, Estados Unidos,Telluride,"{'location': {'type': 'Point', 'coordinates': (32.7682742, -15.5205193)}}","{'location': {'type': 'Point', 'coordinates': (32.7682742, -15.5205193)}}"
TEZ, India,Tezpur,"{'location': {'type': 'Point', 'coordinates': (-107.812285, 37.9374939)}}","{'location': {'type': 'Point', 'coordinates': (-107.812285, 37.9374939)}}"
TFF, Brasil,Tefe,"{'location': {'type': 'Point', 'coordinates': (92.76500717365028, 26.61695705)}}","{'location': {'type': 'Point', 'coordinates': (92.76500717365028, 26.61695705)}}"
TFI, Papua Nueva Guinea,Tufi,"{'location': {'type': 'Point', 'coordinates': (-64.7102278, -3.3485276)}}","{'location': {'type': 'Point', 'coordinates': (-64.7102278, -3.3485276)}}"
TFN, Espana,Tenerife,"{'location': {'type': 'Point', 'coordinates': (10.244472, 45.6548762)}}","{'location': {'type': 'Point', 'coordinates': (10.244472, 45.6548762)}}"
TFS, Espana,Tenerife,"{'location': {'type': 'Point', 'coordinates': (-16.621447121144122, 28.2935785)}}","{'location': {'type': 'Point', 'coordinates': (-16.621447121144122, 28.2935785)}}"
TFU, China,Chengdu,"{'location': {'type': 'Point', 'coordinates': (-16.621447121144122, 28.2935785)}}","{'location': {'type': 'Point', 'coordinates': (-16.621447121144122, 28.2935785)}}"
TGC, Malasia,Tanjung Manis,"{'location': {'type': 'Point', 'coordinates': (104.0633717, 30.6598628)}}","{'location': {'type': 'Point', 'coordinates': (104.0633717, 30.6598628)}}"
TGD, Montenegro,Podgorica,"{'location': {'type': 'Point', 'coordinates': (111.335745, 2.1338299)}}","{'location': {'type': 'Point', 'coordinates': (111.335745, 2.1338299)}}"
TGG, Malasia,Kuala Terengganu,"{'location': {'type': 'Point', 'coordinates': (19.2621081, 42.4415238)}}","{'location': {'type': 'Point', 'coordinates': (19.2621081, 42.4415238)}}"
TGH, Vanuatu,Tongoa,"{'location': {'type': 'Point', 'coordinates': (103.1383265, 5.3296461)}}","{'location': {'type': 'Point', 'coordinates': (103.1383265, 5.3296461)}}"
TGI, Peru,Tingo Maria,"{'location': {'type': 'Point', 'coordinates': (168.55951945218965, -16.89953515)}}","{'location': {'type': 'Point', 'coordinates': (168.55951945218965, -16.89953515)}}"
TGJ, Nueva Caledonia,Isla Tiga,"{'location': {'type': 'Point', 'coordinates': (-76.003440987375, -9.37314905)}}","{'location': {'type': 'Point', 'coordinates': (-76.003440987375, -9.37314905)}}"
TGM, Rumania,Targu Mures,"{'location': {'type': 'Point', 'coordinates': (167.81595456259487, -21.106597999999998)}}","{'location': {'type': 'Point', 'coordinates': (167.81595456259487, -21.106597999999998)}}"
TGO, China,Tongliao,"{'location': {'type': 'Point', 'coordinates': (24.5611947, 46.5446244)}}","{'location': {'type': 'Point', 'coordinates': (24.5611947, 46.5446244)}}"
TGP, Rusia,Podkamennaya Tunguska,"{'location': {'type': 'Point', 'coordinates': (122.2558324, 43.6428995)}}","{'location': {'type': 'Point', 'coordinates': (122.2558324, 43.6428995)}}"
TGQ, Brasil,Tangara da Serra,"{'location': {'type': 'Point', 'coordinates': (98.2347371, 60.4250504)}}","{'location': {'type': 'Point', 'coordinates': (98.2347371, 60.4250504)}}"
TGR, Argelia,Touggourt,"{'location': {'type': 'Point', 'coordinates': (-57.4907268, -14.6213903)}}","{'location': {'type': 'Point', 'coordinates': (-57.4907268, -14.6213903)}}"
TGT, Tanzania,Tanga,"{'location': {'type': 'Point', 'coordinates': (6.235443156542997, 32.98251965)}}","{'location': {'type': 'Point', 'coordinates': (6.235443156542997, 32.98251965)}}"
TGU, Honduras,Tegucigalpa,"{'location': {'type': 'Point', 'coordinates': (-175.202642, -19.9160819)}}","{'location': {'type': 'Point', 'coordinates': (-175.202642, -19.9160819)}}"
TGZ, Mexico,Tuxtla Gutierrez,"{'location': {'type': 'Point', 'coordinates': (-87.204676, 14.1056861)}}","{'location': {'type': 'Point', 'coordinates': (-87.204676, 14.1056861)}}"
THD, Vietnam,Thanh Hoa,"{'location': {'type': 'Point', 'coordinates': (-93.115959, 16.753801)}}","{'location': {'type': 'Point', 'coordinates': (-93.115959, 16.753801)}}"
THE, Brasil,Teresina,"{'location': {'type': 'Point', 'coordinates': (105.2124457, 20.1071694)}}","{'location': {'type': 'Point', 'coordinates': (105.2124457, 20.1071694)}}"
THO, Islandia,Thorshofn,"{'location': {'type': 'Point', 'coordinates': (-42.809588, -5.0896403)}}","{'location': {'type': 'Point', 'coordinates': (-42.809588, -5.0896403)}}"
THQ, China,Tianshui,"{'location': {'type': 'Point', 'coordinates': (-6.768, 62.012)}}","{'location': {'type': 'Point', 'coordinates': (-6.768, 62.012)}}"
THR, Corri,Tehran,"{'location': {'type': 'Point', 'coordinates': (105.7062921, 34.5797531)}}","{'location': {'type': 'Point', 'coordinates': (105.7062921, 34.5797531)}}"
THS, Tailandia,Provincia de Sukhothai,"{'location': {'type': 'Point', 'coordinates': (51.3896004, 35.6892523)}}","{'location': {'type': 'Point', 'coordinates': (51.3896004, 35.6892523)}}"
THU, Groenlandia,Pituffik,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
THX, Rusia,Turujansk,"{'location': {'type': 'Point', 'coordinates': (-68.73629845234358, 76.3898729)}}","{'location': {'type': 'Point', 'coordinates': (-68.73629845234358, 76.3898729)}}"
TIA, Albania,Tirana,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
TID, Argelia,Tiaret,"{'location': {'type': 'Point', 'coordinates': (19.8185512, 41.3279485)}}","{'location': {'type': 'Point', 'coordinates': (19.8185512, 41.3279485)}}"
TIF, Arabia Saudita,Taif,"{'location': {'type': 'Point', 'coordinates': (1.594579173136212, 34.8947575)}}","{'location': {'type': 'Point', 'coordinates': (1.594579173136212, 34.8947575)}}"
TIH, Polinesia frances,Tikehau,"{'location': {'type': 'Point', 'coordinates': (40.415833, 21.270278)}}","{'location': {'type': 'Point', 'coordinates': (40.415833, 21.270278)}}"
TII, Afganistan,Tarin Kowt,"{'location': {'type': 'Point', 'coordinates': (-148.22706445360544, -15.00511375)}}","{'location': {'type': 'Point', 'coordinates': (-148.22706445360544, -15.00511375)}}"
TIJ, Mexico,Tijuana,"{'location': {'type': 'Point', 'coordinates': (65.916961, 32.682171)}}","{'location': {'type': 'Point', 'coordinates': (65.916961, 32.682171)}}"
TIM, Indonesia,Kota Timika,"{'location': {'type': 'Point', 'coordinates': (-116.964662, 32.5010188)}}","{'location': {'type': 'Point', 'coordinates': (-116.964662, 32.5010188)}}"
TIN, Argelia,Tinduf,"{'location': {'type': 'Point', 'coordinates': (136.8890989, -4.5501686)}}","{'location': {'type': 'Point', 'coordinates': (136.8890989, -4.5501686)}}"
TIR, India,Tirupati,"{'location': {'type': 'Point', 'coordinates': (-6.240053867373146, 27.54390695)}}","{'location': {'type': 'Point', 'coordinates': (-6.240053867373146, 27.54390695)}}"
TIU, Nueva Zelanda,Timaru,"{'location': {'type': 'Point', 'coordinates': (79.4231711, 13.6316368)}}","{'location': {'type': 'Point', 'coordinates': (79.4231711, 13.6316368)}}"
